Time resolution is 1 ps
  TIME | REQ RW MEM_READY || Moore: MEM_EN DATA_EN DONE || Mealy: MEM_EN DATA_EN DONE
---------------------------------------------------------------------------------------
                   0 |  0   0     0     ||   0      0      0   ||   0      0      0

=== Starting Deterministic FSM Timing Test ===


-- Test 1: READ (fast memory) --
               30000 |  1   0     0     ||   0      0      0   ||   1      1      0
               35000 |  1   0     0     ||   1      1      0   ||   1      1      0
               50000 |  1   0     1     ||   1      1      0   ||   1      1      1
               55000 |  1   0     1     ||   0      0      1   ||   0      0      1
               65000 |  1   0     1     ||   0      0      1   ||   1      1      0
               75000 |  1   0     1     ||   0      0      1   ||   1      1      1
               85000 |  1   0     1     ||   0      0      1   ||   0      0      1
               95000 |  1   0     1     ||   0      0      1   ||   1      1      0

-- Test 2: WRITE (slow memory) --
              100000 |  1   1     0     ||   0      0      1   ||   1      1      0
              180000 |  1   1     1     ||   0      0      1   ||   1      1      1
              185000 |  1   1     1     ||   0      0      1   ||   0      0      1
              195000 |  1   1     1     ||   0      0      1   ||   1      1      0
              205000 |  1   1     1     ||   0      0      1   ||   1      1      1

-- Test 3: READ (ready aligns with clock edge) --
              210000 |  1   0     0     ||   0      0      1   ||   1      1      0
              219000 |  1   0     1     ||   0      0      1   ||   1      1      1
              225000 |  1   0     1     ||   0      0      1   ||   0      0      1
              235000 |  1   0     1     ||   0      0      1   ||   1      1      0

-- Test 4: WRITE (ready glitch before valid) --
              239000 |  1   1     1     ||   0      0      1   ||   1      1      0
              242000 |  1   1     0     ||   0      0      1   ||   1      1      0
              282000 |  1   1     1     ||   0      0      1   ||   1      1      1
              285000 |  1   1     1     ||   0      0      1   ||   0      0      1

-- Test 5: Back-to-back READs --
              292000 |  1   0     0     ||   0      0      1   ||   0      0      1
              295000 |  1   0     0     ||   0      0      1   ||   1      1      0
              332000 |  1   0     1     ||   0      0      1   ||   1      1      1
              335000 |  1   0     1     ||   0      0      1   ||   0      0      1
              345000 |  1   0     1     ||   0      0      1   ||   1      1      0
              355000 |  1   0     1     ||   0      0      1   ||   1      1      1
              362000 |  0   0     0     ||   0      0      1   ||   1      1      0
              365000 |  0   0     0     ||   0      0      0   ||   1      1      0
              382000 |  1   0     0     ||   0      0      0   ||   1      1      0
              385000 |  1   0     0     ||   1      1      0   ||   1      1      0
              392000 |  1   0     1     ||   1      1      0   ||   1      1      1
              395000 |  1   0     1     ||   0      0      1   ||   0      0      1
              405000 |  1   0     1     ||   0      0      1   ||   1      1      0
              415000 |  1   0     1     ||   0      0      1   ||   1      1      1
              422000 |  0   0     0     ||   0      0      1   ||   1      1      0
              425000 |  0   0     0     ||   0      0      0   ||   1      1      0

=== Simulation Complete ===

$finish called at time : 522 ns : File "C:/Users/onepl/Desktop/Phases/Phase0/Wk6/datacontroller-fsm/project_1.srcs/sim_1/new/tb_controller.v" Line 108
